,index,cik,conm,type,date,path
1822748,1822748,1350694,"Bridgewater Associates, LP",13F-HR,2012-11-13,edgar/data/1350694/0001140361-12-046781.txt
1966859,1966859,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2013-02-14,edgar/data/1029160/0001011438-13-000136.txt
1968994,1968994,1035674,PAULSON & CO INC,13F-HR,2013-02-14,edgar/data/1035674/0001035674-13-000001.txt
1969415,1969415,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2013-02-14,edgar/data/1037389/0001037389-13-000053.txt
1981500,1981500,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2013-02-14,edgar/data/1067983/0001193125-13-060317.txt
2008678,2008678,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2013-02-14,edgar/data/1167483/0000919574-13-001722.txt
2069421,2069421,1350694,"Bridgewater Associates, LP",13F-HR,2013-02-13,edgar/data/1350694/0001140361-13-006490.txt
2267804,2267804,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2013-05-15,edgar/data/1029160/0001140361-13-021038.txt
2269403,2269403,1035674,PAULSON & CO INC,13F-HR,2013-05-15,edgar/data/1035674/0001140361-13-021112.txt
2269821,2269821,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2013-05-14,edgar/data/1037389/0001037389-13-000054.txt
2280244,2280244,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2013-05-15,edgar/data/1067983/0001193125-13-222307.txt
2304656,2304656,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2013-05-15,edgar/data/1167483/0000919574-13-003513.txt
2355467,2355467,1350694,"Bridgewater Associates, LP",13F-HR,2013-05-13,edgar/data/1350694/0001140361-13-020200.txt
2523497,2523497,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2013-08-14,edgar/data/1029160/0001140361-13-032845.txt
2524794,2524794,1035674,PAULSON & CO INC,13F-HR,2013-08-14,edgar/data/1035674/0001140361-13-032842.txt
2525052,2525052,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2013-08-12,edgar/data/1037389/0001037389-13-000057.txt
2532532,2532532,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2013-08-15,edgar/data/1067983/0000950123-13-006925.txt
2552254,2552254,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2013-08-14,edgar/data/1167483/0000919574-13-005109.txt
2591745,2591745,1350694,"Bridgewater Associates, LP",13F-HR,2013-08-13,edgar/data/1350694/0001140361-13-031944.txt
2736510,2736510,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2013-11-14,edgar/data/1029160/0001140361-13-042843.txt
2737715,2737715,1035674,PAULSON & CO INC,13F-HR,2013-11-14,edgar/data/1035674/0001140361-13-042822.txt
2738018,2738018,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2013-11-13,edgar/data/1037389/0001037389-13-000058.txt
2745921,2745921,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2013-11-14,edgar/data/1067983/0000950123-13-009777.txt
2764980,2764980,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2013-11-14,edgar/data/1167483/0000919574-13-006567.txt
2805748,2805748,1350694,"Bridgewater Associates, LP",13F-HR,2013-11-13,edgar/data/1350694/0001140361-13-042089.txt
2957516,2957516,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2014-02-14,edgar/data/1029160/0001140361-14-007869.txt
2959357,2959357,1035674,PAULSON & CO INC,13F-HR,2014-02-14,edgar/data/1035674/0001140361-14-007899.txt
2959815,2959815,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2014-02-14,edgar/data/1037389/0001037389-14-000069.txt
2971910,2971910,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2014-02-14,edgar/data/1067983/0000950123-14-002615.txt
2999226,2999226,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2014-02-14,edgar/data/1167483/0000919574-14-001717.txt
3056606,3056606,1350694,"Bridgewater Associates, LP",13F-HR,2014-02-12,edgar/data/1350694/0001140361-14-006358.txt
3265994,3265994,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2014-05-15,edgar/data/1029160/0001140361-14-021633.txt
3267563,3267563,1035674,PAULSON & CO INC,13F-HR,2014-05-15,edgar/data/1035674/0001140361-14-021622.txt
3267965,3267965,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2014-05-14,edgar/data/1037389/0001037389-14-000071.txt
3277311,3277311,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2014-05-15,edgar/data/1067983/0000950123-14-006252.txt
3300128,3300128,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2014-05-15,edgar/data/1167483/0000919574-14-003349.txt
3346354,3346354,1350694,"Bridgewater Associates, LP",13F-HR,2014-05-14,edgar/data/1350694/0001140361-14-021000.txt
3516230,3516230,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2014-08-14,edgar/data/1029160/0001140361-14-032820.txt
3517243,3517243,1035674,PAULSON & CO INC,13F-HR,2014-08-14,edgar/data/1035674/0001140361-14-032841.txt
3517624,3517624,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2014-08-13,edgar/data/1037389/0001037389-14-000072.txt
3524644,3524644,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2014-08-14,edgar/data/1067983/0000950123-14-009048.txt
3543124,3543124,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2014-08-14,edgar/data/1167483/0000919574-14-004747.txt
3578280,3578280,1350694,"Bridgewater Associates, LP",13F-HR,2014-08-12,edgar/data/1350694/0001140361-14-031924.txt
3728990,3728990,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2014-11-14,edgar/data/1029160/0001140361-14-042212.txt
3730149,3730149,1035674,PAULSON & CO INC,13F-HR,2014-11-14,edgar/data/1035674/0001140361-14-042274.txt
3730395,3730395,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2014-11-12,edgar/data/1037389/0001037389-14-000073.txt
3738164,3738164,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2014-11-14,edgar/data/1067983/0000950123-14-012218.txt
3756560,3756560,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2014-11-14,edgar/data/1167483/0000919574-14-006596.txt
3794505,3794505,1350694,"Bridgewater Associates, LP",13F-HR,2014-11-12,edgar/data/1350694/0001140361-14-041083.txt
3954024,3954024,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2015-02-17,edgar/data/1029160/0001140361-15-007300.txt
3955871,3955871,1035674,PAULSON & CO INC,13F-HR,2015-02-17,edgar/data/1035674/0001140361-15-007474.txt
3956280,3956280,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2015-02-13,edgar/data/1037389/0001037389-15-000075.txt
3967719,3967719,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2015-02-17,edgar/data/1067983/0000950123-15-002961.txt
3993299,3993299,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2015-02-17,edgar/data/1167483/0000919574-15-002170.txt
4047397,4047397,1350694,"Bridgewater Associates, LP",13F-HR,2015-02-11,edgar/data/1350694/0001140361-15-005578.txt
4268999,4268999,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2015-05-15,edgar/data/1029160/0001140361-15-020311.txt
4270448,4270448,1035674,PAULSON & CO. INC.,13F-HR,2015-05-15,edgar/data/1035674/0001140361-15-020416.txt
4270872,4270872,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2015-05-13,edgar/data/1037389/0001037389-15-000078.txt
4280022,4280022,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2015-05-15,edgar/data/1067983/0000950123-15-006438.txt
4301893,4301893,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2015-05-15,edgar/data/1167483/0000919574-15-004426.txt
4345893,4345893,1350694,"Bridgewater Associates, LP",13F-HR,2015-05-14,edgar/data/1350694/0001140361-15-019529.txt
4527030,4527030,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2015-08-14,edgar/data/1029160/0001140361-15-032209.txt
4528034,4528034,1035674,PAULSON & CO. INC.,13F-HR,2015-08-14,edgar/data/1035674/0001140361-15-032242.txt
4528282,4528282,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2015-08-14,edgar/data/1037389/0001037389-15-000080.txt
4534829,4534829,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2015-08-14,edgar/data/1067983/0000950123-15-009404.txt
4552185,4552185,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2015-08-14,edgar/data/1167483/0000919574-15-006282.txt
4584453,4584453,1350694,"Bridgewater Associates, LP",13F-HR,2015-08-11,edgar/data/1350694/0001140361-15-030974.txt
4734272,4734272,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2015-11-16,edgar/data/1029160/0001140361-15-041720.txt
4735365,4735365,1035674,PAULSON & CO. INC.,13F-HR,2015-11-16,edgar/data/1035674/0001140361-15-041689.txt
4735605,4735605,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2015-11-12,edgar/data/1037389/0001037389-15-000081.txt
4742522,4742522,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2015-11-16,edgar/data/1067983/0000950123-15-011992.txt
4759033,4759033,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2015-11-16,edgar/data/1167483/0000919574-15-008225.txt
4792089,4792089,1350694,"Bridgewater Associates, LP",13F-HR,2015-11-12,edgar/data/1350694/0001140361-15-040647.txt
4948947,4948947,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2016-02-16,edgar/data/1029160/0001140361-16-053193.txt
4950673,4950673,1035674,PAULSON & CO. INC.,13F-HR,2016-02-16,edgar/data/1035674/0001140361-16-053318.txt
4951069,4951069,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2016-02-11,edgar/data/1037389/0001037389-16-000085.txt
4961948,4961948,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2016-02-16,edgar/data/1067983/0000950123-16-015025.txt
4985596,4985596,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2016-02-16,edgar/data/1167483/0000919574-16-011040.txt
5033740,5033740,1350694,"Bridgewater Associates, LP",13F-HR,2016-02-11,edgar/data/1350694/0001140361-16-051801.txt
5254525,5254525,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2016-05-16,edgar/data/1029160/0001140361-16-065687.txt
5255820,5255820,1035674,PAULSON & CO. INC.,13F-HR,2016-05-16,edgar/data/1035674/0001140361-16-065770.txt
5256169,5256169,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2016-05-13,edgar/data/1037389/0001037389-16-000183.txt
5264881,5264881,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2016-05-16,edgar/data/1067983/0000950123-16-017295.txt
5283741,5283741,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2016-05-16,edgar/data/1167483/0000919574-16-013223.txt
5322254,5322254,1350694,"Bridgewater Associates, LP",13F-HR,2016-05-13,edgar/data/1350694/0001140361-16-065095.txt
5496523,5496523,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2016-08-15,edgar/data/1029160/0001140361-16-076685.txt
5497433,5497433,1035674,PAULSON & CO. INC.,13F-HR,2016-08-15,edgar/data/1035674/0001140361-16-076754.txt
5497684,5497684,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2016-08-12,edgar/data/1037389/0001037389-16-000184.txt
5504271,5504271,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2016-08-15,edgar/data/1067983/0000950123-16-020120.txt
5520274,5520274,1167483,TIGER GLOBAL MANAGEMENT LLC,13F-HR,2016-08-15,edgar/data/1167483/0000919574-16-014985.txt
5549834,5549834,1350694,"Bridgewater Associates, LP",13F-HR,2016-08-10,edgar/data/1350694/0001140361-16-075565.txt
5698312,5698312,1029160,SOROS FUND MANAGEMENT LLC,13F-HR,2016-11-14,edgar/data/1029160/0001140361-16-086458.txt
5699270,5699270,1035674,PAULSON & CO. INC.,13F-HR,2016-11-14,edgar/data/1035674/0001140361-16-086497.txt
5699489,5699489,1037389,RENAISSANCE TECHNOLOGIES LLC,13F-HR,2016-11-14,edgar/data/1037389/0001037389-16-000185.txt
5706147,5706147,1067983,BERKSHIRE HATHAWAY INC,13F-HR,2016-11-14,edgar/data/1067983/0000950123-16-022377.txt
